scenario,days_since_transplant,percentage
s1_recipient_withdrawal,7,0.16666666666666666
s1_recipient_withdrawal,14,0.16666666666666666
s1_recipient_withdrawal,30,0.16666666666666666
s1_recipient_withdrawal,60,0.16666666666666666
s1_recipient_withdrawal,90,0.16666666666666666
s1_recipient_withdrawal,180,0.16666666666666666
s2_living_donor_withdrawal,7,0.16666666666666666
s2_living_donor_withdrawal,14,0.16666666666666666
s2_living_donor_withdrawal,30,0.16666666666666666
s2_living_donor_withdrawal,60,0.16666666666666666
s2_living_donor_withdrawal,90,0.16666666666666666
s2_living_donor_withdrawal,180,0.16666666666666666
s3_hospital_withdrawal,7,0.16666666666666666
s3_hospital_withdrawal,14,0.16666666666666666
s3_hospital_withdrawal,30,0.16666666666666666
s3_hospital_withdrawal,60,0.16666666666666666
s3_hospital_withdrawal,90,0.16666666666666666
s3_hospital_withdrawal,180,0.16666666666666666
s4_invalid_consent,7,0.16666666666666666
s4_invalid_consent,14,0.16666666666666666
s4_invalid_consent,30,0.16666666666666666
s4_invalid_consent,60,0.16666666666666666
s4_invalid_consent,90,0.16666666666666666
s4_invalid_consent,180,0.16666666666666666
s5_retention_expiry,7,0.16666666666666666
s5_retention_expiry,14,0.16666666666666666
s5_retention_expiry,30,0.16666666666666666
s5_retention_expiry,60,0.16666666666666666
s5_retention_expiry,90,0.16666666666666666
s5_retention_expiry,180,0.16666666666666666
