scenario,model,retained_test_rows,threshold,threshold_label,auroc,pr_auc,f1,balanced_accuracy,bce,brier_score,accuracy,precision,recall,specificity,pr_auc_gap_to_full_retraining,balanced_accuracy_gap_to_full_retraining,bce_gap_to_full_retraining,auroc_gap_to_full_retraining,f1_gap_to_full_retraining,brier_score_gap_to_full_retraining,forget_rows,mean_absolute_probability_difference_from_full,absolute_bce_difference_from_full,prediction_agreement_with_full,mean_true_label_confidence_difference_from_full,absolute_true_label_confidence_difference_from_full,ks_loss_statistic_vs_full,reference_normalised_forgetfulness,runtime_seconds,deletion_percentage,retained_test_pr_auc_relative_to_full
s1_actor_withdrawal,original,8920,0.32,fixed_baseline_validation_threshold,0.7678219578689405,0.626814259506955,0.6345452258145678,0.6970775359675415,0.5469871275105761,0.1848908822841693,0.6743273542600897,0.5348886532343584,0.779839208410637,0.614315863524446,0.0016173059890640662,-0.0008901747633469625,-0.00038966776150350935,2.3628867656944053e-05,0.0006486564341274814,-0.00023393892102929748,415,0.010360431,0.001058804372091493,0.9855421686746988,-0.002748228205614822,0.002748228205614822,0.03855421686746988,0.0,0.0,0.009880952380952381,1.0025868743920836
s1_actor_withdrawal,retain_set_finetuning,8920,0.32,fixed_baseline_validation_threshold,0.7685930366134879,0.6275693911366077,0.6365034606511151,0.7005448615669208,0.5468061693025629,0.18482499029133503,0.6820627802690583,0.5435639229422067,0.7677798392084106,0.6333098839254309,0.0023724376187167495,0.0025771508360322715,-0.0005706259695167359,0.0007947076122043484,0.002606891270674705,-0.0002998309138635691,415,0.0073123197,0.00015498526569834858,0.9879518072289156,-0.0018575801278454263,0.0018575801278454263,0.033734939759036145,0.29420698,15.854921665973961,0.009880952380952381,1.003794704381343
s1_actor_withdrawal,full_retraining,8920,0.32,fixed_baseline_validation_threshold,0.7677983290012835,0.625196953517891,0.6338965693804404,0.6979677107308885,0.5473767952720796,0.1851248212051986,0.679372197309417,0.5408475316732198,0.7656153370439085,0.6303200844178685,0.0,0.0,0.0,0.0,0.0,0.0,415,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.67137320805341,0.009880952380952381,1.0
s2_submission_withdrawal,original,8590,0.32,fixed_baseline_validation_threshold,0.7677123987759046,0.6278044633611335,0.6335468688717479,0.6962079639395684,0.5471200704559919,0.18488046047563872,0.6736903376018626,0.5342888643880926,0.7780989081567117,0.6143170197224251,0.0008203500876182712,-0.002566521372176722,-0.00024406493739137503,6.635482537697968e-05,-0.0008272971277183405,-0.00018057137388055589,2137,0.01683448,0.0019244135378559957,0.9691155825924193,-0.00032919941484854665,0.00032919941484854665,0.018249883013570427,0.0,0.0,0.05088095238095238,1.001308406497471
s2_submission_withdrawal,retain_set_finetuning,8590,0.32,fixed_baseline_validation_threshold,0.7681961175360644,0.6280052323076148,0.6341140664284769,0.6978076928670586,0.5470899745649092,0.18487045434621563,0.6781140861466822,0.5392752644609498,0.7694283879254977,0.6261869978086194,0.0010211190340996268,-0.0009667924446865594,-0.0002741608284740904,0.0005500735855368255,-0.0002600995709893805,-0.0001905775033036461,2137,0.010604385,0.0010437031245793538,0.9803462798315395,-0.0016971146988573604,0.0016971146988573604,0.018717828731867104,0.37007946,8.976330416975543,0.05088095238095238,1.0016286202672158
s2_submission_withdrawal,full_retraining,8590,0.32,fixed_baseline_validation_threshold,0.7676460439505276,0.6269841132735152,0.6343741659994663,0.6987744853117451,0.5473641353933832,0.18506103184951928,0.681024447031432,0.5426940639269406,0.7633269107257546,0.6342220598977356,0.0,0.0,0.0,0.0,0.0,0.0,2137,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.37646950001363,0.05088095238095238,1.0
s3_agency_withdrawal,original,8079,0.32,fixed_baseline_validation_threshold,0.7714778340184256,0.6317454717702223,0.6405427859318749,0.7017193861526593,0.5446322610258031,0.1838071046125494,0.6786731031068202,0.5402943237561317,0.7864671880312819,0.6169715842740366,0.00020980637124323742,-0.0008488928954265562,0.00032143387043548355,-0.000512479172261493,-0.0010709195116178627,0.00013862802417019537,4224,0.016816728,0.0017118702781971917,0.9595170454545454,0.0016557291603407354,0.0016557291603407354,0.016335227272727272,0.0,0.0,0.10057142857142858,1.000332216187839
s3_agency_withdrawal,retain_set_finetuning,8079,0.32,fixed_baseline_validation_threshold,0.7721783898703832,0.632768229970933,0.6424344885883347,0.7049646353635247,0.5445691266813221,0.18379535009166706,0.6858522094318604,0.5484724560981477,0.7752465147908875,0.634682755936162,0.0012325645719538647,0.0023963563154388856,0.00025829952595446404,0.0001880766796961142,0.0008207831448420189,0.0001268735032878554,4224,0.01404735,0.0005950057363783845,0.9713541666666666,0.001279768735085618,0.001279768735085618,0.018465909090909092,0.16467994,11.251961707952432,0.10057142857142858,1.0019516943214524
s3_agency_withdrawal,full_retraining,8079,0.32,fixed_baseline_validation_threshold,0.7719903131906871,0.6315356653989791,0.6416137054434927,0.7025682790480858,0.5443108271553676,0.1836684765883792,0.6789206584973387,0.5403770072143356,0.7895273716422986,0.6156091864538731,0.0,0.0,0.0,0.0,0.0,0.0,4224,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.40036162501201,0.10057142857142858,1.0
s4_project_closure,original,7616,0.32,fixed_baseline_validation_threshold,0.7705627803280939,0.6361992740313938,0.6442778898818103,0.7001218274351952,0.5476467490121298,0.1852091802963556,0.6759453781512605,0.5424757281553398,0.7931156848828956,0.6071279699874947,-0.001775412776700347,-0.002008244504526524,0.0005144544921616978,-0.000808682112933834,-0.0013891154890707247,0.00021784430841909064,6289,0.016792266,0.0011357318203176758,0.9731276832564796,0.00013587760312094854,0.00013587760312094854,0.015105740181268883,0.0,0.0,0.14973809523809523,0.997217110939647
