original_index,model_type,scenario,subset,true_historical_membership,true_class,model_probability,model_loss,negative_model_loss,true_class_confidence,max_probability,prediction_entropy,negative_entropy,probability_margin,correct_prediction,y_pred,shadow_logistic_score,shadow_random_forest_score
0,full_retraining_reference,s2_random_5_percent,retain_training_member,1,0,0.00028284432,0.00028324127,-0.00028324127,0.9997172,0.9997172,0.0025937958,-0.0025937958,0.49971715,1,0,0.5024239237873181,0.4254228260098494
2,full_retraining_reference,s2_random_5_percent,retain_training_member,1,1,0.5197735,0.6543621,-0.6543621,0.5197735,0.5197735,0.69236493,-0.69236493,0.019773483,1,1,0.502946177127505,0.5047339692507655
5,full_retraining_reference,s2_random_5_percent,retain_training_member,1,0,0.0017414809,0.0017428398,-0.0017428398,0.99825853,0.99825853,0.012803613,-0.012803613,0.49825853,1,0,0.502491924681864,0.49482774070091173
6,full_retraining_reference,s2_random_5_percent,retain_training_member,1,0,0.0011963601,0.0011968613,-0.0011968613,0.9988036,0.9988036,0.0092453435,-0.0092453435,0.49880365,1,0,0.5024694098684401,0.5108683911847893
7,full_retraining_reference,s2_random_5_percent,retain_training_member,1,1,0.78628904,0.24043082,-0.24043082,0.78628904,0.78628904,0.5188321,-0.5188321,0.28628904,1,1,0.5078154304468958,0.5038607573511725
8,full_retraining_reference,s2_random_5_percent,retain_training_member,1,0,0.0012639806,0.0012645721,-0.0012645721,0.998736,0.998736,0.009698338,-0.009698338,0.49873602,1,0,0.5024723324523097,0.5162920848018913
9,full_retraining_reference,s2_random_5_percent,retain_training_member,1,0,0.026430413,0.02678585,-0.02678585,0.9735696,0.9735696,0.12210606,-0.12210606,0.47356957,1,0,0.5029202653799998,0.501103339463427
10,full_retraining_reference,s2_random_5_percent,retain_training_member,1,1,0.76247907,0.27118018,-0.27118018,0.76247907,0.76247907,0.5482055,-0.5482055,0.26247907,1,1,0.5077559730841071,0.4983216744255002
11,full_retraining_reference,s2_random_5_percent,retain_training_member,1,0,0.64508957,1.0358899,-1.0358899,0.35491043,0.64508957,0.65043354,-0.65043354,0.14508957,0,1,0.4819051288419559,0.49832503091738123
12,full_retraining_reference,s2_random_5_percent,retain_training_member,1,0,0.003010033,0.0030145645,-0.0030145645,0.99698997,0.99698997,0.020481162,-0.020481162,0.49698997,1,0,0.5025375330144048,0.5008968542546978
