shadow_model_id,original_index,shadow_membership,split_seed
0,17579,1,1042
0,26338,1,1042
0,2675,1,1042
0,15997,1,1042
0,45656,1,1042
0,6225,1,1042
0,46148,1,1042
0,40655,1,1042
0,45431,1,1042
0,16530,1,1042
0,8628,1,1042
0,34564,1,1042
0,24303,1,1042
0,23560,1,1042
0,21697,1,1042
0,11971,1,1042
0,1822,1,1042
0,19009,1,1042
0,21674,1,1042
0,7977,1,1042
0,11617,1,1042
0,9789,1,1042
0,42249,1,1042
0,13725,1,1042
0,10614,1,1042
0,28874,1,1042
0,1430,1,1042
0,34110,1,1042
0,34227,1,1042
0,34857,1,1042
0,6539,1,1042
0,20228,1,1042
0,5431,1,1042
0,12017,1,1042
0,48188,1,1042
0,28788,1,1042
0,20891,1,1042
0,17108,1,1042
0,4684,1,1042
0,27857,1,1042
0,46855,1,1042
0,23902,1,1042
0,17562,1,1042
0,16354,1,1042
0,12725,1,1042
0,62,1,1042
0,37928,1,1042
0,42202,1,1042
0,30647,1,1042
0,14373,1,1042
0,15898,1,1042
0,44427,1,1042
0,32700,1,1042
0,26527,1,1042
0,1794,1,1042
0,26628,1,1042
0,37631,1,1042
0,1218,1,1042
0,12214,1,1042
0,28886,1,1042
0,34611,1,1042
0,39928,1,1042
0,16154,1,1042
0,6714,1,1042
0,17852,1,1042
0,22030,1,1042
0,201,1,1042
0,8998,1,1042
0,2145,1,1042
0,10378,1,1042
0,35319,1,1042
0,24460,1,1042
0,40319,1,1042
0,4953,1,1042
0,36993,1,1042
0,22667,1,1042
0,3475,1,1042
0,20825,1,1042
0,35368,1,1042
0,17280,1,1042
0,4577,1,1042
0,13252,1,1042
0,18598,1,1042
0,31242,1,1042
0,17779,1,1042
0,44711,1,1042
0,14455,1,1042
0,42586,1,1042
0,28878,1,1042
0,40466,1,1042
0,25587,1,1042
0,23543,1,1042
0,7086,1,1042
0,30239,1,1042
0,25213,1,1042
0,48095,1,1042
0,7253,1,1042
0,9011,1,1042
