original_index,model_type,scenario,subset,true_historical_membership,true_class,model_probability,model_loss,negative_model_loss,true_class_confidence,max_probability,prediction_entropy,negative_entropy,probability_margin,correct_prediction,y_pred,shadow_logistic_score,shadow_random_forest_score
0,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.0004033158,0.00040340424,-0.00040340424,0.99959666,0.99959666,0.003555495,-0.003555495,0.4995967,1,0,0.5024308808099123,0.4546784114144695
2,full_retraining_reference,s1_random_1_percent,retain_training_member,1,1,0.4043612,0.90544677,-0.90544677,0.4043612,0.5956388,0.67474043,-0.67474043,0.09563881,0,0,0.5014229827226778,0.5071614858307808
5,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.0014973639,0.0014986992,-0.0014986992,0.9985026,0.9985026,0.011235195,-0.011235195,0.49850264,1,0,0.5024821101744589,0.4789572352832614
6,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.0012983789,0.0012993813,-0.0012993813,0.99870163,0.99870163,0.009927381,-0.009927381,0.49870163,1,0,0.5024737909747333,0.5255421447212909
7,full_retraining_reference,s1_random_1_percent,retain_training_member,1,1,0.7890338,0.23694612,-0.23694612,0.7890338,0.7890338,0.51523405,-0.51523405,0.28903377,1,1,0.5078177917246884,0.5043621711430349
8,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.0012180215,0.0012187958,-0.0012187958,0.998782,0.998782,0.009390845,-0.009390845,0.49878198,1,0,0.5024703413178276,0.5126211813684617
9,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.024744285,0.025055647,-0.025055647,0.9752557,0.9752557,0.11596866,-0.11596866,0.47525573,1,0,0.502906569058568,0.5001626784735953
10,full_retraining_reference,s1_random_1_percent,retain_training_member,1,1,0.77398264,0.25620583,-0.25620583,0.77398264,0.77398264,0.5344191,-0.5344191,0.27398264,1,1,0.5077934071330064,0.4952505934464203
11,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.6880373,1.1648715,-1.1648715,0.31196272,0.6880373,0.6206621,-0.6206621,0.18803728,0,1,0.47918083457588095,0.46676963934847815
12,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.0031697177,0.0031747818,-0.0031747818,0.9968303,0.9968303,0.0214036,-0.0214036,0.49683028,1,0,0.5025427768965867,0.49858016652835935
14,full_retraining_reference,s1_random_1_percent,retain_training_member,1,1,0.65642923,0.42094037,-0.42094037,0.65642923,0.65642923,0.6433756,-0.6433756,0.15642923,1,1,0.5066394455884411,0.49927590567812713
15,full_retraining_reference,s1_random_1_percent,retain_training_member,1,1,0.8407253,0.17349033,-0.17349033,0.8407253,0.8407253,0.4384652,-0.4384652,0.3407253,1,1,0.5076847046736933,0.5123065342284472
17,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.45070103,0.5991124,-0.5991124,0.549299,0.549299,0.68827844,-0.68827844,0.049298972,1,0,0.49057717404356593,0.4946817963304025
19,full_retraining_reference,s1_random_1_percent,retain_training_member,1,1,0.76510423,0.2677432,-0.2677432,0.76510423,0.76510423,0.5451246,-0.5451246,0.26510423,1,1,0.5077659442882337,0.5041363262153475
20,full_retraining_reference,s1_random_1_percent,retain_training_member,1,1,0.6187001,0.4801346,-0.4801346,0.6187001,0.6187001,0.66469693,-0.66469693,0.11870009,1,1,0.5058927637288461,0.4992249620060655
21,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.0011544152,0.0011548996,-0.0011548996,0.9988456,0.9988456,0.008962407,-0.008962407,0.49884558,1,0,0.5024675727016308,0.5142428775853074
22,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.0012690949,0.0012698174,-0.0012698174,0.9987309,0.9987309,0.0097324625,-0.0097324625,0.4987309,1,0,0.502472547835454,0.5104825609923674
23,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.024265623,0.024564981,-0.024564981,0.97573435,0.97573435,0.11420526,-0.11420526,0.47573438,1,0,0.5029024279395584,0.5001626784735953
25,full_retraining_reference,s1_random_1_percent,retain_training_member,1,1,0.7290973,0.31594804,-0.31594804,0.7290973,0.7290973,0.5841546,-0.5841546,0.2290973,1,1,0.507555474532483,0.5070345891310162
26,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.00035174476,0.00035190582,-0.00035190582,0.9996483,0.9996483,0.003148952,-0.003148952,0.49964824,1,0,0.5024279614483443,0.5617295304179935
28,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.30900055,0.36961627,-0.36961627,0.69099945,0.69099945,0.61829865,-0.61829865,0.19099945,1,0,0.4973881994122844,0.5071331486970929
29,full_retraining_reference,s1_random_1_percent,retain_training_member,1,0,0.17602795,0.19361866,-0.19361866,0.82397205,0.82397205,0.4653167,-0.4653167,0.32397205,1,0,0.501411332964099,0.501909046507241
