original_index,dataset_split,seed,y_true,y_pred,y_probability,per_record_loss,negative_loss,true_class_confidence,correct_prediction
38865,train,42,0,0,0.014970440417528152,0.015083789825439453,-0.015083789825439453,0.9850295782089233,1
17212,train,42,0,0,5.6727862101979554e-05,5.626678466796875e-05,-5.626678466796875e-05,0.9999432563781738,1
9312,train,42,0,0,0.0845976173877716,0.08839154243469238,-0.08839154243469238,0.9154024124145508,1
15512,train,42,0,0,0.0984664037823677,0.10365796089172363,-0.10365796089172363,0.9015336036682129,1
23576,train,42,0,0,0.002545773284509778,0.0025491714477539062,-0.0025491714477539062,0.9974542260169983,1
47936,train,42,1,0,0.49252933263778687,0.7082011699676514,-0.7082011699676514,0.49252933263778687,0
810,train,42,0,1,0.5501810312271118,0.7989099621772766,-0.7989099621772766,0.4498189687728882,0
34933,train,42,0,0,2.396508898527827e-05,2.384185791015625e-05,-2.384185791015625e-05,0.9999760389328003,1
12616,train,42,0,0,0.01317695900797844,0.013264656066894531,-0.013264656066894531,0.9868230223655701,1
7801,train,42,0,0,0.00022061560594011098,0.00022029876708984375,-0.00022029876708984375,0.9997794032096863,1
38169,train,42,0,0,4.8511392378713936e-05,4.863739013671875e-05,-4.863739013671875e-05,0.9999514818191528,1
2547,train,42,0,0,0.0959300547838211,0.10084867477416992,-0.10084867477416992,0.9040699601173401,1
29528,train,42,0,0,0.015646938234567642,0.015770435333251953,-0.015770435333251953,0.9843530654907227,1
22581,train,42,0,0,0.07735501229763031,0.08051085472106934,-0.08051085472106934,0.9226449728012085,1
32785,train,42,0,0,0.02783397026360035,0.028228759765625,-0.028228759765625,0.9721660017967224,1
10019,train,42,1,1,0.7679467797279358,0.26403486728668213,-0.26403486728668213,0.7679467797279358,1
24901,train,42,0,1,0.8694077134132385,2.035674810409546,-2.035674810409546,0.13059228658676147,0
21931,train,42,0,0,0.01105359848588705,0.011115074157714844,-0.011115074157714844,0.9889463782310486,1
27636,train,42,0,0,0.00920140277594328,0.009243965148925781,-0.009243965148925781,0.9907985925674438,1
46413,train,42,0,0,0.0021136465948075056,0.0021157264709472656,-0.0021157264709472656,0.9978863596916199,1
34180,train,42,0,0,0.03158092126250267,0.03209042549133301,-0.03209042549133301,0.968419075012207,1
32877,train,42,1,0,0.3079611659049988,1.177781581878662,-1.177781581878662,0.3079611659049988,0
21167,train,42,0,0,0.006603955291211605,0.006625652313232422,-0.006625652313232422,0.9933960437774658,1
2325,train,42,0,0,0.000934518116991967,0.0009350776672363281,-0.0009350776672363281,0.9990654587745667,1
48193,train,42,0,0,0.10021307319402695,0.10559725761413574,-0.10559725761413574,0.8997869491577148,1
29271,train,42,0,0,0.3315415382385254,0.40278100967407227,-0.40278100967407227,0.6684584617614746,1
45142,train,42,0,0,0.001443467102944851,0.0014443397521972656,-0.0014443397521972656,0.9985565543174744,1
25268,train,42,0,0,0.40252789855003357,0.5150476694107056,-0.5150476694107056,0.597472071647644,1
