scenario,model,mean,std
s1_recipient_withdrawal,initial_sisa,0.4951689342403628,0.011809893368388934
s1_recipient_withdrawal,monolithic_full_retraining,0.4973723072562358,0.01252709287568329
s1_recipient_withdrawal,sisa_replay,0.4955277777777778,0.011740656764588705
s2_living_donor_withdrawal,initial_sisa,0.4983770294784581,0.003325929225048854
s2_living_donor_withdrawal,monolithic_full_retraining,0.498436768707483,0.0035576766963794216
s2_living_donor_withdrawal,sisa_replay,0.4998424603174604,0.0033355560614197954
s3_hospital_withdrawal,initial_sisa,0.5080848667800454,0.0025777548126366665
s3_hospital_withdrawal,monolithic_full_retraining,0.5072797619047619,0.002925733017738468
s3_hospital_withdrawal,sisa_replay,0.5075156930272109,0.002572858328319952
s4_invalid_consent,initial_sisa,0.5024642984693878,0.003501215842307126
s4_invalid_consent,monolithic_full_retraining,0.49711227607709746,0.00427454647816698
s4_invalid_consent,sisa_replay,0.5012719954648526,0.003388556805244631
s5_retention_expiry,initial_sisa,0.511289903628118,0.002849803116782352
s5_retention_expiry,monolithic_full_retraining,0.5085625629881582,0.003035382904375316
s5_retention_expiry,sisa_replay,0.5108707999496095,0.0027751922912656675
