epoch,forget_training_bce,retained_validation_bce,relative_validation_bce_increase,retained_validation_pr_auc,forget_loss,ks_d,probability_mae,elapsed_seconds,scenario
1,0.0632577026174182,0.09109832468297746,6.740533954152639e-05,0.28919586305043604,0.06164185249709291,0.023809523809523808,0.0035658362,0.5571191671770066,s1_recipient_withdrawal
2,0.062455286875012374,0.09109250847498576,3.5556468560571375e-06,0.2894814117024532,0.061945236505488985,0.023809523809523808,0.0035617491,0.6809205841273069,s1_recipient_withdrawal
3,0.06492012348913011,0.0911015511420038,0.00010282505245196027,0.2897446610483689,0.062265582639373984,0.02857142857142857,0.0035910374,0.8041877921205014,s1_recipient_withdrawal
4,0.06140727627845038,0.09112779842482673,0.0003909648412054878,0.29103840220026095,0.062591836034064,0.03333333333333333,0.0036566474,0.9226690421346575,s1_recipient_withdrawal
5,0.0647944970145112,0.09114230663908852,0.0005502344243004664,0.29119430296508075,0.06290211323900263,0.03571428571428571,0.0037001201,1.0436949590221047,s1_recipient_withdrawal
6,0.06688839539530732,0.09117240215672387,0.0008806197122699366,0.29135625383128977,0.06322970584531215,0.04285714285714286,0.003797846,1.1672089591156691,s1_recipient_withdrawal
7,0.06404318028972263,0.09121341264910168,0.001330828394445982,0.29137783750269985,0.0635656275503272,0.05,0.0039405,1.2913860420230776,s1_recipient_withdrawal
8,0.0641113629830735,0.09124873852729798,0.0017186320063351523,0.2916510128641362,0.0639045823989774,0.05476190476190476,0.004080827,1.4135410841554403,s1_recipient_withdrawal
1,0.053440522186103324,0.09113971069786284,0.0005217364665714985,0.288554175282782,0.05250488432499446,0.07285714285714286,0.003343488,0.34499420784413815,s2_living_donor_withdrawal
2,0.05291513172643525,0.09123695845074124,0.0015893116194038992,0.2882029327942251,0.05290741263386451,0.06,0.0033573755,0.5320670828223228,s2_living_donor_withdrawal
3,0.05402731247601055,0.09138136828607983,0.003174626934862923,0.2874477236868779,0.053332533928791045,0.05047619047619047,0.0034969675,0.7144904998131096,s2_living_donor_withdrawal
4,0.055081559320290886,0.09158768626054128,0.005439563003803771,0.2860278341882627,0.053881826275019196,0.03761904761904762,0.003839361,0.8988892079796642,s2_living_donor_withdrawal
5,0.05593977438552039,0.09188510474231508,0.008704590438749937,0.28578877200844227,0.05456939628069457,0.025238095238095237,0.0044241226,1.081584749976173,s2_living_donor_withdrawal
6,0.05589883527585438,0.09227535590860579,0.012988724890851566,0.2853014081742953,0.05536437195845256,0.030476190476190476,0.005261166,1.268743832828477,s2_living_donor_withdrawal
7,0.05527826591616585,0.0928475410938263,0.019270111025542214,0.2847453116251347,0.05634765517123373,0.043333333333333335,0.006458959,1.4517504170071334,s2_living_donor_withdrawal
8,0.057443723735355195,0.09371706185075972,0.02881561441763436,0.2834836333277803,0.057745267674087136,0.06285714285714286,0.008248992,1.6395521250087768,s2_living_donor_withdrawal
